frame_idx,ts_ms,la_x,la_y,ra_x,ra_y,dist_px,la_conf,ra_conf,lh_x,rh_x
5,97,313.5,951.9,306.1,924.8,28.1,0.8242,0.7951,476.2,457.7
7,136,388.2,1007.5,351.3,1019.5,38.7,0.7088,0.6712,461.1,431.6
8,155,394.3,1035.5,354.1,1034.2,40.3,0.6479,0.6066,447.7,409.4
13,253,521.3,1115.7,486.7,1116.3,34.6,0.5872,0.5557,487.6,442.4
14,272,515.6,1136.1,524.1,1123.6,15.2,0.5606,0.5265,488.5,471.1
18,350,478.6,1068.8,464.9,1045.2,27.3,0.4438,0.3969,483.3,459.5
19,369,479.6,1075.7,463.7,1049.6,30.6,0.4241,0.3694,482.8,461.4
20,389,490.4,1067.2,461.9,1050.2,33.2,0.3882,0.3367,483.8,467.6
54,1049,381.1,1080.6,343.6,1054.1,45.9,0.5258,0.3682,442.8,398.1
55,1068,389.3,1080.4,348.1,1066.9,43.3,0.4929,0.3508,444.7,401.6
56,1088,382.6,1077.7,348.0,1058.1,39.8,0.4669,0.3318,445.4,405.1
57,1107,376.8,1072.1,368.9,1052.3,21.3,0.4373,0.3053,425.7,406.1
58,1127,379.7,1047.0,359.8,1050.4,20.2,0.3938,0.275,423.9,408.8
60,1166,465.8,540.1,484.0,543.7,18.6,0.4312,0.3006,464.7,498.3
62,1204,434.8,585.6,430.7,563.1,22.9,0.4146,0.3088,527.7,482.0
63,1224,457.6,612.6,424.1,601.3,35.4,0.3899,0.2982,521.5,484.1
64,1243,442.2,613.1,408.3,607.8,34.3,0.384,0.3015,523.1,482.1
85,1651,304.4,921.5,313.9,951.4,31.3,0.4122,0.314,450.9,410.8
86,1671,320.5,916.9,312.5,910.4,10.3,0.416,0.3119,459.7,418.8
97,1884,470.9,1068.3,441.3,1044.9,37.8,0.3067,0.188,475.8,458.7
98,1904,443.1,1066.1,432.5,1047.1,21.7,0.288,0.172,475.8,465.4
99,1923,433.3,1070.8,421.8,1062.4,14.3,0.2698,0.1644,464.0,460.1
100,1943,419.8,1033.2,417.9,1050.5,17.4,0.2478,0.151,451.3,449.2
101,1962,394.9,1092.0,415.9,1093.5,21.0,0.2932,0.1696,440.1,453.0
102,1982,407.5,1085.5,414.7,1068.4,18.6,0.2829,0.1574,446.4,449.1
107,2079,275.2,947.8,259.6,912.8,38.4,0.3467,0.1818,450.8,426.3
108,2098,273.7,913.7,291.8,901.2,22.1,0.3644,0.1836,443.8,453.5
110,2137,214.0,888.4,234.6,889.5,20.7,0.4131,0.2111,464.3,443.1
112,2176,260.1,927.8,278.7,892.0,40.3,0.3814,0.1877,445.1,455.1
115,2234,238.7,885.1,235.3,871.0,14.5,0.4222,0.2082,424.0,433.9
118,2292,263.4,856.0,263.2,845.3,10.7,0.3305,0.1589,426.6,436.6
119,2312,256.0,842.6,244.7,830.9,16.2,0.3142,0.1527,429.3,435.3
120,2331,255.3,849.0,225.9,838.6,31.2,0.2916,0.1443,426.2,409.4
121,2351,249.0,855.3,235.0,834.1,25.4,0.2701,0.1326,427.1,408.7
122,2370,242.1,854.6,236.3,840.4,15.4,0.3173,0.1968,425.1,409.9
123,2390,235.8,862.7,222.6,847.1,20.4,0.2904,0.1805,425.5,409.9
130,2525,459.5,1115.6,461.9,1083.4,32.3,0.5007,0.2416,467.9,451.3
136,2642,318.0,939.5,309.5,935.1,9.6,0.4966,0.2751,465.5,427.6
141,2739,439.2,1081.3,469.9,1093.2,32.9,0.4365,0.2888,465.5,461.4
142,2759,477.0,1096.0,467.7,1098.8,9.7,0.4354,0.3161,469.3,441.6
148,2875,479.9,1049.5,444.6,1028.9,40.9,0.3773,0.2669,470.8,455.7
150,2914,493.3,1111.6,468.8,1100.1,27.1,0.3191,0.2199,481.9,467.8
163,3167,716.0,810.8,710.6,811.3,5.4,0.5953,0.5091,419.9,414.0
164,3186,716.0,810.8,707.7,811.4,8.3,0.6124,0.4871,420.3,414.9
165,3205,714.7,806.8,687.6,811.5,27.5,0.6404,0.4705,432.9,423.0
166,3225,708.0,806.3,690.8,807.4,17.2,0.6259,0.4415,442.5,438.9
167,3244,707.8,806.3,691.8,807.5,16.1,0.6567,0.4388,439.4,433.6
168,3264,708.2,806.4,693.5,807.5,14.7,0.6796,0.442,419.8,419.6
169,3283,703.9,809.3,688.6,811.3,15.4,0.681,0.4366,442.2,437.6
170,3303,704.3,810.8,690.6,813.3,14.0,0.6606,0.4124,484.7,474.3
171,3322,705.1,821.6,689.1,823.4,16.1,0.6885,0.4526,508.6,496.8
172,3341,702.3,831.3,687.2,829.0,15.3,0.6561,0.4158,491.4,478.7
174,3380,692.3,855.7,654.3,834.7,43.5,0.5962,0.3412,518.2,507.5
182,3536,399.8,1098.0,421.9,1085.1,25.6,0.5439,0.3918,444.5,436.5
183,3555,389.2,1096.3,394.8,1083.4,14.1,0.5113,0.3587,449.1,442.6
184,3575,407.1,1088.8,408.3,1075.9,12.9,0.4868,0.3264,452.9,448.8
185,3594,460.8,1104.1,466.0,1083.1,21.7,0.4603,0.2958,460.8,454.5
186,3613,442.9,1100.6,432.8,1088.4,15.8,0.4323,0.2714,464.8,454.5
187,3633,437.7,1023.9,430.4,1054.2,31.2,0.3958,0.2469,460.1,443.6
188,3652,427.5,1024.1,427.9,1043.0,18.9,0.3677,0.2252,463.0,456.1
189,3672,448.8,1069.4,468.8,1052.7,26.1,0.3701,0.2067,465.2,453.4
193,3749,328.4,923.6,343.4,929.4,16.1,0.4659,0.2498,446.5,428.3
195,3788,247.3,913.0,240.8,892.8,21.2,0.4782,0.2639,427.0,406.4
196,3808,288.3,885.4,283.7,880.4,6.8,0.4939,0.2719,435.3,402.0
197,3827,277.4,877.2,276.9,871.5,5.7,0.4559,0.2503,442.2,411.6
198,3847,274.5,875.2,276.3,867.4,7.9,0.417,0.228,443.4,415.4
199,3866,264.1,853.2,266.3,850.1,3.8,0.3972,0.2134,443.7,418.4
200,3885,263.9,852.6,266.1,849.5,3.8,0.3775,0.1999,445.3,420.0
203,3944,598.8,787.5,578.8,773.9,24.2,0.3226,0.1809,360.7,352.2
209,4060,481.2,1043.0,482.3,1044.8,2.1,0.294,0.1629,494.7,499.2
215,4177,328.8,927.5,334.1,917.0,11.8,0.4421,0.2656,459.7,458.7
216,4196,328.7,930.8,330.1,923.1,7.8,0.446,0.2549,457.3,467.7
217,4216,363.3,989.9,378.2,1003.6,20.3,0.4141,0.2328,456.1,463.7
224,4352,412.1,984.6,426.4,975.3,17.0,0.4,0.2061,441.0,459.7
226,4390,424.3,1026.3,413.5,1012.2,17.7,0.3608,0.1749,451.4,455.2
227,4410,413.8,1061.6,409.6,1020.5,41.3,0.3725,0.1619,451.3,436.7
228,4429,385.6,1050.4,394.9,1032.4,20.4,0.3442,0.1476,441.4,435.9
229,4449,378.9,1075.9,380.8,1048.9,27.1,0.3455,0.1379,437.7,433.4
230,4468,370.3,1047.8,359.9,1025.4,24.7,0.3606,0.1428,439.2,417.5
234,4546,306.7,974.2,314.5,960.8,15.5,0.3266,0.114,436.5,403.4
235,4565,288.6,953.3,271.5,931.1,28.0,0.3178,0.1127,437.8,396.8
236,4585,233.3,939.5,225.8,911.0,29.4,0.2932,0.1067,422.4,380.8
237,4604,223.7,899.2,238.3,897.5,14.7,0.2828,0.1045,425.6,420.1
253,4915,262.1,939.3,236.8,922.4,30.4,0.3706,0.2912,446.5,402.0
255,4954,265.0,955.4,249.2,930.7,29.3,0.3195,0.2619,436.7,391.1
267,5187,403.8,1012.9,401.2,1011.2,3.1,0.4058,0.3197,447.5,426.0
269,5226,470.0,1047.3,430.6,1053.6,39.9,0.4666,0.3839,461.7,426.2
275,5342,444.8,1070.2,432.5,1047.3,26.0,0.3222,0.2469,462.9,445.7
278,5401,447.6,1095.2,434.3,1077.9,21.8,0.3323,0.2978,469.9,458.5
279,5420,450.8,1085.5,440.0,1063.5,24.4,0.3633,0.319,475.2,457.3
285,5537,376.2,962.2,380.5,971.4,10.2,0.5562,0.4709,463.9,481.3
297,5770,236.0,904.3,279.0,901.7,43.1,0.6096,0.4429,461.3,436.9
300,5828,201.8,913.9,201.2,890.5,23.5,0.5625,0.3654,432.1,421.6
307,5964,362.7,1093.8,356.6,1073.8,20.9,0.3977,0.302,425.7,404.2
309,6003,306.7,1073.7,305.2,1054.0,19.7,0.3406,0.2527,409.6,364.0
310,6022,360.4,1074.2,360.4,1061.3,12.9,0.3178,0.2355,418.3,393.6
311,6042,370.0,1089.7,374.6,1073.7,16.6,0.3037,0.219,430.8,414.9
312,6061,387.5,1084.4,374.2,1069.6,20.0,0.303,0.2058,432.8,417.8
313,6081,403.6,1095.1,441.2,1099.1,37.8,0.2912,0.1975,430.4,460.2
314,6100,400.8,1089.3,413.3,1075.5,18.7,0.2664,0.1787,430.8,450.9
324,6294,295.8,894.4,295.3,899.6,5.1,0.534,0.4766,469.7,441.1
329,6391,276.7,860.2,262.6,839.3,25.3,0.4649,0.4026,458.4,424.5
335,6508,446.7,966.3,427.8,954.9,22.1,0.3452,0.3116,483.0,482.8
339,6586,499.9,1132.6,458.5,1116.4,44.4,0.436,0.3376,483.2,444.6
344,6683,346.5,930.9,325.5,917.2,25.1,0.4542,0.3372,470.8,436.4
346,6722,447.8,1006.6,460.5,982.1,27.6,0.4553,0.3138,462.7,470.4
351,6819,444.0,1086.0,439.9,1079.6,7.5,0.3264,0.2127,456.9,452.2
352,6838,402.5,1077.2,436.5,1064.9,36.2,0.3094,0.1948,456.9,450.5
353,6858,432.4,1074.1,436.6,1057.5,17.1,0.2856,0.1766,461.6,461.4
354,6877,433.5,1072.8,422.9,1053.6,21.9,0.295,0.1655,463.7,461.1
355,6897,449.7,1030.6,421.7,1021.3,29.5,0.2747,0.151,464.0,461.8
356,6916,420.7,1035.8,407.5,1030.3,14.3,0.2554,0.1396,462.3,461.6
357,6935,407.1,1063.3,416.0,1053.4,13.3,0.2545,0.1378,456.3,458.4
358,6955,399.6,1058.1,377.5,1042.9,26.8,0.2482,0.1302,456.8,442.0
359,6974,421.7,1073.0,386.8,1046.6,43.7,0.2747,0.1402,448.4,438.6
363,7052,349.8,922.4,343.4,937.5,16.3,0.3077,0.1279,431.7,424.9
367,7130,683.8,823.7,698.5,835.9,19.1,0.3494,0.1664,449.2,431.4
370,7188,696.8,796.3,664.3,780.3,36.3,0.4935,0.2863,410.8,403.2
374,7266,713.5,821.8,682.2,819.7,31.4,0.583,0.2594,487.2,474.5
375,7285,710.4,829.9,687.1,828.1,23.4,0.5786,0.2454,483.6,472.4
376,7305,708.4,832.5,687.1,830.2,21.4,0.5886,0.2292,494.0,482.3
377,7324,704.8,849.7,681.3,844.3,24.1,0.6066,0.2344,493.0,478.0
378,7343,639.9,845.6,675.2,846.2,35.4,0.557,0.2231,491.0,480.2
380,7382,663.9,869.5,631.8,847.4,39.0,0.5855,0.2775,491.3,482.0
397,7712,491.2,1122.0,520.1,1108.4,32.0,0.5673,0.4617,471.0,483.6
